n,d,num_cliques,C_max,fidelity,KL,success_rate,num_gates,depth,shots,w_min,w_max
1,2,1,1,0.9983109578971615,0.0033471957550510467,0.711672,178,111,1000000,-2.2465612850296974,-1.4599690347320942
1,2,1,1,0.5229945878732734,1.3621761475604173,0.543525,188,117,1000000,-3.5457672101741915,-2.446372801616883
1,2,1,1,0.9735808308287887,0.054337121567876595,0.746041,177,112,1000000,-0.5361581752160749,-0.5194308484217434
1,2,1,1,0.9983350899119035,0.0033169090058275397,0.568235,179,111,1000000,-4.372199032991283,-3.9639928521872045
1,2,1,1,0.8750452425174605,-0.11680076615573058,0.469916,155,101,1000000,-4.742715450699151,-2.7963915915904685
1,2,1,1,0.8941980289730274,-0.0999963945490763,0.466057,154,101,1000000,-4.8506488218180435,-2.7162907112508394
1,2,1,1,0.13553122039337395,-0.2708663618603966,0.486967,159,101,1000000,-3.6078420740427717,-1.7549289059738111
1,2,1,1,0.3948727917343032,-0.36691248596208176,0.436151,160,101,1000000,-2.0462767757356626,-1.619401745001324
1,2,1,1,0.935464404522596,-0.062406873174800113,0.445673,159,101,1000000,-4.88011456999655,-2.206288414133581
1,2,1,1,0.6854835026012394,-0.25885971534675084,0.472424,160,101,1000000,-3.7039970179095807,-2.924909116146662
2,4,1,2,0.04627931158951425,-0.14221911292037553,0.245294,1381,900,1000000,-4.215818175363658,-1.5350035463533316
2,4,1,2,0.04193852316366335,-0.1330101427335065,0.244465,1380,900,1000000,-3.890432538223025,-1.0992064922076765
2,4,1,2,0.1047593198107718,-0.23634642787222257,0.201184,1381,903,1000000,-3.060531683479312,-0.12099888305780393
2,4,1,2,0.009438636541927718,-0.04401183120916463,0.247342,1381,901,1000000,-4.53900717265025,-0.4867322914165486
2,4,1,2,0.05963786310529816,-0.16814684501504257,0.244496,1380,902,1000000,-3.8749525303056807,-1.7335988982848427
2,4,1,2,0.16414409375626082,-0.29661012004577625,0.242995,1380,901,1000000,-3.6540913443229446,-2.655767696752854
2,4,1,2,0.03871627785701635,-0.12588578971377304,0.242324,1380,903,1000000,-3.5828441757013834,-0.6981909691783148
2,4,1,2,0.14217826418583282,-0.27734339029744576,0.245131,1380,901,1000000,-3.9933078234956776,-2.727344244465788
2,4,1,2,0.19141684423975502,-0.31646981282624587,0.240072,1381,903,1000000,-4.5639403854647576,-2.430338735972608
2,4,1,2,0.22522593959622234,-0.33573331817572083,0.197239,1381,902,1000000,-1.5547871116391847,-1.2670156307130793
3,8,2,2,0.63662047654201,1.6132056647570205,0.642505,4063,2568,1000000,-4.6924168747811335,-1.6599941111283978
3,8,2,2,0.7275017601632706,0.5230442777794412,0.647811,4070,2570,1000000,-4.665219849759801,-0.14295857173833593
3,8,2,2,0.346033673812758,2.34278321007653,0.725943,4068,2571,1000000,-4.637261873026655,-0.2404458860869907
3,8,2,2,0.9308467747007918,0.1249497633685714,0.636806,4067,2568,1000000,-3.6808305319083856,-0.3672983044156153
3,8,2,2,0.8282455797012608,0.3927679702418588,0.709993,4066,2569,1000000,-4.018293497076016,-0.4310376402373173
3,8,2,2,0.5126164513482444,1.1846742484426356,0.75246,4065,2569,1000000,-4.551135443254199,-0.140480279944855
3,8,2,2,0.35863871653947094,1.6984948652175391,0.711563,4065,2567,1000000,-4.631955277572431,-0.36124619853693396
3,8,2,2,0.667411528901179,0.7113924382355973,0.635587,4065,2568,1000000,-4.75450448693503,-1.3471900874789378
3,8,2,2,0.3328768519316312,1.7161612077385133,0.740037,4065,2566,1000000,-4.711400292372986,-0.20242377092114783
3,8,2,2,0.8069443424812875,0.41948109998401995,0.629086,4071,2571,1000000,-4.676698683246574,-0.5230439296182245
4,12,3,2,0.0008907883918873234,-0.008142945224139985,0.064257,10532,7110,1000000,-4.302803846211881,-0.6802657726161918
4,12,3,2,0.000883844279579594,-0.010181713323984529,0.0902,10527,7109,1000000,-4.231452697352856,-0.1428501389071748
4,12,3,2,0.03262164728275656,-0.11085631640129436,0.062023,10534,7109,1000000,-4.539434172588843,-0.63997463751127
4,12,3,2,0.0019287700379314572,-0.013301138564793142,0.014702,10533,7111,1000000,-4.7725589680265115,-0.17449853781927782
4,12,3,2,0.004518554826563111,-0.025489367769565785,0.066773,10529,7110,1000000,-4.688664877451526,-0.11121590412473381
4,12,3,2,0.10890594200411281,0.010387287859054274,0.056006,10530,7107,1000000,-4.657318958609078,-1.8980571056568682
4,12,3,2,0.3893297899745744,-0.20627953682669112,0.085677,10531,7108,1000000,-4.996273135312553,-1.007207365289044
4,12,3,2,0.007099445735887156,-0.038072995221408334,0.065287,10532,7109,1000000,-4.768565281238251,-0.9269026997801291
4,12,3,2,0.050811378145305064,-0.10855105204448365,0.073458,10531,7108,1000000,-4.97867209559837,-0.32107508969758847
4,12,3,2,0.25467047330145426,0.22152481925435716,0.052219,10532,7109,1000000,-4.789694452231868,-0.060424348691921814
